Date,Revenue,COGS,gross_profit,is_loss_leader_day
2012-07-04,5123547.94,3982991.19,1140556.7500000005,0
2012-07-05,2751773.45,2150580.23,601193.2200000002,0
2012-07-06,3054029.42,2517632.84,536396.5800000001,0
2012-07-07,2667930.94,2108246.62,559684.3199999998,0
2012-07-08,2360851.9,1808622.79,552229.1099999999,0
2012-07-09,3548386.46,2787841.68,760544.7799999998,0
2012-07-10,5234938.62,4044438.84,1190499.7800000003,0
2012-07-11,5582884.78,4338313.07,1244571.71,0
2012-07-12,5734632.02,4458811.27,1275820.75,0
2012-07-13,5309511.71,4143402.78,1166108.9300000002,0
2012-07-14,3820831.41,3075464.87,745366.54,0
2012-07-15,3948841.28,3154482.05,794359.23,0
2012-07-16,3503801.49,2708219.59,795581.9000000004,0
2012-07-17,4476729.49,3463061.65,1013667.8400000003,0
2012-07-18,5184141.46,4072012.16,1112129.2999999998,0
2012-07-19,6421487.11,5007270.91,1414216.2000000002,0
2012-07-20,5171470.46,4213989.64,957480.8200000003,0
2012-07-21,3442157.02,2746075.45,696081.5699999998,0
2012-07-22,3117550.57,2531656.38,585894.19,0
2012-07-23,4730517.69,3685006.66,1045511.0300000003,0
2012-07-24,4096496.12,3248450.65,848045.4700000002,0
2012-07-25,5246688.08,4140019.37,1106668.71,0
2012-07-26,5851965.06,4579171.74,1272793.3199999994,0
2012-07-27,5156699.45,3989402.2,1167297.25,0
2012-07-28,4326956.84,3403662.59,923294.25,0
2012-07-29,4804199.65,3819645.91,984553.7400000002,0
2012-07-30,6586130.95,5195109.56,1391021.3900000006,0
2012-07-31,9151622.14,7142891.18,2008730.960000001,0
2012-08-01,9148357.3,7308514.33,1839842.9700000007,0
2012-08-02,9692427.0,7537501.15,2154925.8499999996,0
2012-08-03,9297269.95,7118808.46,2178461.4899999993,0
2012-08-04,6384195.03,5087528.11,1296666.92,0
2012-08-05,2359224.19,1863413.11,495811.07999999984,0
2012-08-06,3630003.7,2922718.71,707284.9900000002,0
2012-08-07,2240253.44,1781265.84,458987.59999999986,0
2012-08-08,2617553.36,1997006.42,620546.94,0
2012-08-09,4478691.52,3621672.71,857018.8099999996,0
2012-08-10,3412496.65,2699279.56,713217.0899999999,0
2012-08-11,2732604.35,2168668.05,563936.3000000003,0
2012-08-12,3388181.83,2654275.25,733906.5800000001,0
2012-08-13,3928170.01,3189564.96,738605.0499999998,0
2012-08-14,4033912.16,3258198.58,775713.5800000001,0
2012-08-15,3780293.26,2886923.59,893369.6699999999,0
2012-08-16,5249978.18,4222455.97,1027522.21,0
2012-08-17,4089284.05,3238908.92,850375.1299999999,0
2012-08-18,3450015.71,2808916.94,641098.77,0
2012-08-19,3904300.93,3006801.4,897499.5300000003,0
2012-08-20,3541027.32,2827038.81,713988.5099999998,0
2012-08-21,4147483.23,3364364.64,783118.5899999999,0
2012-08-22,4597682.81,3562468.33,1035214.4799999995,0
2012-08-23,5478869.55,4195738.04,1283131.5099999998,0
2012-08-24,4637850.57,3632210.67,1005639.9000000004,0
2012-08-25,3589566.28,2784342.75,805223.5299999998,0
2012-08-26,4280204.53,3476942.48,803262.0500000003,0
2012-08-27,3038895.84,2365260.68,673635.1599999997,0
2012-08-28,9508676.62,7439851.59,2068825.0299999993,0
2012-08-29,9260558.32,7336294.54,1924263.7800000003,0
2012-08-30,10086534.1,7950911.72,2135622.38,0
2012-08-31,9104678.52,7277460.12,1827218.3999999994,0
2012-09-01,8560208.92,6738335.17,1821873.75,0
2012-09-02,2587099.44,1946097.28,641002.1599999999,0
2012-09-03,3865505.01,3063431.08,802073.9299999997,0
2012-09-04,3645749.44,2876968.79,768780.6499999999,0
2012-09-05,2398185.51,1966376.48,431809.0299999998,0
2012-09-06,2858227.37,2147909.96,710317.4100000001,0
2012-09-07,3282753.8,2580035.06,702718.7399999998,0
2012-09-08,3666204.89,2804001.32,862203.5700000003,0
2012-09-09,4458501.42,3589475.8,869025.6200000001,0
2012-09-10,4548962.79,3517300.88,1031661.9100000001,0
2012-09-11,4021565.55,3264364.41,757201.1399999997,0
2012-09-12,3335978.29,2673690.65,662287.6400000001,0
2012-09-13,2609609.29,2103806.97,505802.31999999983,0
2012-09-14,3729228.43,2835412.27,893816.1600000001,0
2012-09-15,3605125.64,2849539.9,755585.7400000002,0
2012-09-16,4452012.44,3561492.95,890519.4900000002,0
2012-09-17,4811788.67,3932069.23,879719.44,0
2012-09-18,5078878.07,4123200.89,955677.1800000002,0
2012-09-19,3680241.62,3014323.76,665917.8600000003,0
2012-09-20,3763143.75,3080273.62,682870.1299999999,0
2012-09-21,3943768.14,2978697.93,965070.21,0
2012-09-22,3872374.03,3011266.74,861107.2899999996,0
2012-09-23,4118299.54,3294951.2,823348.3399999999,0
2012-09-24,5733263.53,4585762.62,1147500.9100000001,0
2012-09-25,5639897.53,4502395.62,1137501.9100000001,0
2012-09-26,4592282.59,3670417.04,921865.5499999998,0
2012-09-27,7556892.66,6017108.13,1539784.5300000003,0
2012-09-28,4892631.14,3884590.92,1008040.2199999997,0
2012-09-29,5304374.46,4170120.63,1134253.83,0
2012-09-30,4694379.86,3812737.52,881642.3400000003,0
2012-10-01,4752532.1,3764447.04,988085.0599999996,0
2012-10-02,3233135.78,2566510.62,666625.1599999997,0
2012-10-03,3515132.03,2762823.63,752308.3999999999,0
2012-10-04,2398137.74,1902425.74,495712.00000000023,0
2012-10-05,2665953.06,2064899.19,601053.8700000001,0
2012-10-06,2205266.94,1755004.4,450262.54000000004,0
2012-10-07,3389598.07,2725469.75,664128.3199999998,0
2012-10-08,4037039.45,3285493.04,751546.4100000001,0
2012-10-09,4298675.76,3472700.63,825975.1299999999,0
2012-10-10,3548716.67,2839202.59,709514.0800000001,0
2012-10-11,3421490.39,2765374.16,656116.23,0
2012-10-12,2380119.87,1830898.15,549221.7200000002,0
2012-10-13,2798011.44,2256579.15,541432.29,0
2012-10-14,3055629.78,2516987.32,538642.46,0
2012-10-15,3234517.3,2632811.8,601705.5,0
2012-10-16,3549298.21,2763325.25,785972.96,0
2012-10-17,3818048.0,3108682.75,709365.25,0
2012-10-18,2909728.89,2301277.14,608451.75,0
2012-10-19,2877379.81,2352068.71,525311.1000000001,0
2012-10-20,3242557.3,2647331.71,595225.5899999999,0
2012-10-21,2395609.91,1920246.47,475363.4400000002,0
2012-10-22,3596158.34,2873316.18,722842.1599999997,0
2012-10-23,3999141.88,3151858.27,847283.6099999999,0
